名称,面积(㎡),月租金(元)
SOCO公社 2室1卫1厅 51平精装修,51.0,4300
金隅智造 西三旗 回龙观 霍营 育新 新康园 旗胜家,38.0,2600
住总旗胜家园(北区) 精装修3室好房出租 舒适安静,21.0,2000
1室1厅SOCO公社,47.0,4300
旗胜家园 2室1卫1厅 88.68平精装修,88.0,5800
首月优惠!新干线清爽单间近云智中心558霍营地铁华龙,10.0,1399
紫金新干线 2室1卫2厅 87.99平,87.0,6000
8号线育新地铁站 新康园精装次卧 近龙旗广场三旗百汇,15.0,1900
回龙观东大街 黄平路 农业农村干部管理学院,16.0,1000
13号线地铁 精装两居室出租 真实照片价格 随时看房,57.0,4500
南北通透天鑫家园3室2厅精装修,137.0,1800
南北通透紫金新干线3室1厅精装修,133.0,8000
霍营13号院地铁 西三旗万象汇 国风美唐 旗胜家园,15.0,1600
霍营 回龙观 西三旗万象汇 龙旗广场 西小口 东升科,40.0,3200
SOCO公社 1室1卫1厅 45.77平精装修 紧邻,45.0,4800
旗胜家园 3室1卫1厅 90.63平精装修,90.0,6500
三旗百汇 龙旗广场 育新 霍营 新康园北区超大精装独,50.0,3000
回龙观东大街 中西医结合医院 龙冠和谐大厦 华龙苑中,15.0,1500
1室0厅SOCO公社,44.0,4000
昌平霍营新康园 3室1厅 91.19㎡ 随时看房 地,91.0,5600
育新地铁站 霍营 三旗百汇 龙旗广场 新康园精装主卧,18.0,1800
正南旗胜家园2室1厅精装修,89.0,5800
西三旗育新霍营金隅智造东升科技园龙旗广场旗胜家园主卧,20.0,1700
龙旗广场三期百汇黄平路8号院大两居出租,60.0,4600
霍营 回龙观东大街 华龙苑 龙锦苑 紫金新干线精装主,18.0,1600
育新 回龙观 西三旗 建材城 三旗百汇 龙旗广场 新,20.0,2000
新康园 3室1卫1厅 123平精装修 1850元/月,15.0,1850
8号线育新地铁站 新康园精装次卧 近龙旗广场三旗百汇,15.0,1300
昌平霍营TBD云集中心 2室1厅 82.62㎡ 49,82.0,4900
昌平霍营国风美唐二期 3室2厅 97.13㎡ 750,97.0,7500
"住总旗胜家园(北区)!诚心出租南2室,物有所值,不要",55.0,5500
霍营 回龙观 龙泽 新世纪商城 中西医结合 华龙苑南,13.0,1000
正南旗胜家园2室1厅精装修,89.0,5800
昌平霍营TBD云集中心 2室1厅 90㎡ 5300元,90.0,5300
回龙观 回龙观东大街 西三旗万象汇 霍营 华龙苑中里,18.0,1400
昌平霍营TBD云集中心精装 2室1厅 82.62㎡,82.0,4900
SOCO公社 1室1卫1厅 45平精装修,45.0,3900
霍营地铁附近便宜的主卧室出租,15.0,1800
整租·霍营·紫金新干线四期·3室,70.0,4900
合租·霍营·华龙苑南里·3室,28.0,2700
整租·华龙苑南里 2室1厅 南,61.0,5000
整租·华龙苑南里 2室1厅 南/北,71.0,5200
整租·紫金新干线 2室1厅 南/北,89.0,6200
整租·霍营·紫金新干线·2室,82.0,6000
整租·华龙苑中里3室2厅,148.0,7500
整租·慧龙居 3室2厅 南/北,125.0,7200
整租·紫金新干线 2室1厅 南/北,89.0,5500
整租·华龙苑南里3室1厅,102.0,6800
整租·霍营·紫金新干线·2室,86.0,5800
合租·霍营·华龙苑北里·6室·房间D,26.0,2700
整租·华龙苑南里 2室1厅 南/北,72.0,5500
整租·华龙苑南里 2室1厅 南/北,82.0,5600
整租·霍营·华龙苑南里·3室,61.0,5300
整租·新康园 1室1厅 东南,73.0,5400
整租·西三旗·新康园·2室,67.0,5500
整租·霍营·华龙苑南里·3室,105.0,6500
整租·霍营·华龙苑中里·1室,46.0,4100
合租·霍营·紫金新干线四期·4室·房间D,16.0,1650
整租·华龙苑南里 1室1厅 南/北,56.0,4100
整租·华龙苑南里3室1厅,83.0,5450
整租·西三旗·新康园·2室,67.0,4500
合租·霍营·天鑫家园·3室·房间A,30.0,3150
整租·天鑫家园1室1厅,65.0,4350
整租·霍营·华龙苑中里·1室,45.0,4500
整租·紫金新干线2室1厅,89.0,6500
整租·霍营·紫金新干线四期·2室,73.0,5400
整租·霍营·华龙苑南里·2室,74.0,4900
整租·天鑫家园 1室1厅 北,51.0,4777
整租·华龙苑北里 2室1厅 南/北,95.0,5600
整租·霍营·慧龙居·2室,82.0,6000
整租·华龙苑南里 2室1厅 南,60.0,5200
整租·紫金新干线二期 2室1厅 南/北,90.0,6100
整租·黄平路8号院2室1厅,56.0,5300
整租·西三旗·新康园·2室,87.0,5600
整租·华龙苑中里 2室1厅 南/北,55.0,5400
整租·霍营·霍营小区·2室,59.0,4700
整租·紫金新干线二期 3室1厅 南/北,134.0,7200
整租·霍营·华龙苑中里·3室,75.0,5500
整租·霍营·霍营小区·2室,62.0,4900
整租·紫金新干线 2室1厅 南/北,120.0,7000
整租·霍营·蓝天园小区·2室,50.0,4500
整租·霍营·紫金新干线四期·2室,77.0,5100
整租·霍营·紫金新干线二区·3室,89.0,6100
整租·华龙苑北里 1室0厅 北,41.0,4470
整租·华龙苑北里 2室1厅 南/北,96.0,6000
整租·华龙苑北里 2室1厅 东/南/北,87.0,5880
整租·霍营小区3室1厅,56.0,4700
合租·霍营·华龙苑南里·4室·房间D,25.0,1650
整租·霍营·紫金新干线·2室,86.0,5500
整租·华龙苑南里3室1厅,77.0,5900
整租·天鑫家园 1室1厅 北,59.0,4500
整租·慧龙居 3室1厅 南/北,119.0,6600
合租·霍营·华龙苑南里·5室·房间C,12.0,1400
整租·新康园 4室2厅 南/北,172.0,12000
整租·华龙苑中里 2室1厅 南,56.0,5630
整租·霍营·华龙苑南里·2室,70.0,5600
整租·西三旗·新康园·2室,87.0,5800
合租·霍营·华龙苑中里·4室·房间A,26.0,2900
整租·紫金新干线2室1厅,79.0,5500
合租·霍营·紫金新干线四期·4室·房间A,20.0,2100
整租·霍营·华龙苑南里·1室,35.0,4300
整租·紫金新干线2室1厅,103.0,6000
整租·霍营·华龙苑北里·2室,78.0,5700
整租·霍营·华龙苑中里·2室,64.0,5200
整租·霍营小区 2室1厅 东,68.0,6130
整租·霍营·紫金新干线·3室,134.0,8500
整租·霍营·蓝天园小区·2室,63.0,5000
整租·霍营·华龙苑中里·2室,53.0,5200
整租·华龙苑南里 2室1厅 南/北,73.0,5300
合租·霍营·紫金新干线·4室·房间B,26.0,2400
整租·霍营·华龙苑北里·5室,165.0,12000
整租·紫金新干线二期 2室1厅 南/北,89.0,5900
整租·霍营·霍营小区·2室,62.0,4700
整租·华龙苑南里3室1厅,85.0,6200
整租·霍营·华龙苑中里·2室,56.0,4200
整租·华龙苑南里3室1厅,117.0,6500
整租·霍营·紫金新干线二区·2室,88.0,6200
整租·紫金新干线二期 2室1厅 南/北,89.0,6000
整租·华龙苑中里 1室0厅 北,43.0,4300
整租·华龙苑南里 2室1厅 南/北,70.0,5100
整租·霍家营 2室1厅 南/北,70.0,4500
整租·霍营·紫金新干线·3室,133.0,8600
整租·紫金新干线 2室1厅 南/北,87.0,6000
整租·西三旗·新康园·2室,99.0,6000
整租·西三旗·新康园·3室,91.0,6300
整租·霍营·华龙苑南里·2室,73.0,5600
整租·霍营·紫金新干线四期·2室,71.0,5000
整租·华龙苑南里 1室1厅 南,49.0,5060
整租·霍营·天鑫家园·2室,87.0,6000
合租·西三旗·新康园·4室·房间A,40.0,3400
整租·霍营·紫金新干线·2室,88.0,6200
整租·霍营·华龙苑南里·2室,87.0,5700
整租·华龙苑北里 2室1厅 南/北,90.0,6500
整租·霍营·华龙苑北里·1室,40.0,4300
整租·霍营·华龙苑南里·2室,71.0,5000
合租·霍营·紫金新干线·3室·房间A,30.0,2700
整租·紫金新干线2室1厅,82.0,5700
整租·霍营·紫金新干线·2室,82.0,5900
合租·霍营·天鑫家园·3室·房间C,15.0,1850
整租·华龙苑北里 5室1厅 南/北,155.0,12000
整租·霍营·紫金新干线二区·2室,92.0,6500
整租·霍营·天鑫家园·1室,54.0,4600
合租·霍营·紫金新干线二区·3室·房间A,18.0,3250
合租·霍营·紫金新干线·3室·房间C,14.0,1950
合租·霍营·天鑫家园·3室·房间C,12.0,1850
整租·霍营·华龙苑南里·3室,87.0,6300
整租·天鑫家园 3室1厅 南/北,97.0,5300
整租·霍营·紫金新干线·3室,132.0,7600
整租·华龙苑中里 2室1厅 南/北,76.0,5600
整租·紫金新干线二期2室1厅,88.0,5000
整租·华龙苑南里 1室1厅 南,56.0,5034
整租·紫金新干线 1室0厅 南,46.0,4300
整租·天鑫家园 1室0厅 北,42.0,4000
整租·新康园 2室1厅 东/西,99.0,6500
整租·霍营·华龙苑南里·3室,77.0,5800
合租·霍营·紫金新干线四期·3室·房间A,26.0,3100
整租·华龙苑中里 2室1厅 南/北,56.0,4650
整租·华龙苑南里 2室1厅 南/北,71.0,5200
整租·新康园 1室0厅 北,67.0,4800
整租·华龙苑中里 3室1厅 南/北,108.0,6000
整租·华龙苑南里 2室1厅 南,60.0,5200
整租·紫金新干线2室1厅,79.0,5500
整租·新康园2室1厅,74.0,5700
整租·霍营·华龙苑南里·3室,87.0,6800
整租·霍营·华龙苑中里·3室,75.0,5000
整租·华龙苑中里 1室0厅 北,43.0,4300
整租·霍营·华龙苑中里·2室,62.0,5300
整租·天鑫家园 2室1厅 南/北,87.0,5000
合租·霍营·天鑫家园·3室·房间A,30.0,3150
整租·华龙苑中里2室1厅,32.0,5160
合租·霍营·天鑫家园·3室·房间C,15.0,1900
整租·霍营·紫金新干线四期·2室,78.0,5600
整租·霍营·紫金新干线四期·2室,71.0,5000
整租·霍家营2室1厅,73.0,5000
整租·蓝天园 2室1厅 南/北,78.0,5800
整租·西三旗·新康园·2室,87.0,5800
合租·霍营·霍营小区·3室·房间C,6.0,1800
整租·霍营·紫金新干线·3室,132.0,7500
整租·紫金新干线2室1厅,79.0,5500
整租·华龙苑中里 2室1厅 南/北,56.0,4800
整租·霍营·华龙苑中里·2室,56.0,5000
整租·霍营·华龙苑北里·1室,49.0,4400
整租·天鑫家园 2室1厅 南/西,65.0,4600
整租·紫金新干线 2室1厅 南/北,89.0,6000
整租·华龙苑中里1室0厅,37.0,4200
整租·霍营·霍营小区·2室,63.0,4800
整租·天鑫家园 1室1厅 南,59.0,4600
整租·新康园 1室1厅 东南,73.0,5400
整租·霍营·霍营小区·2室,60.0,4700
整租·华龙苑北里 2室1厅 南/北,90.0,6200
整租·西三旗·新康园·2室,109.0,7000
整租·霍营·华龙苑北里·2室,95.0,6300
整租·华龙苑南里 3室1厅 南/西,89.0,5800
整租·霍营·霍营小区·3室,76.0,5200
整租·新康园 1室1厅 西南,71.0,5300
整租·华龙苑中里 2室1厅 南,56.0,5630
整租·霍营·华龙苑北里·4室,155.0,11000
整租·华龙苑南里 2室1厅 南,60.0,4800
整租·新康园 3室1厅 南,91.0,5800
整租·霍营·紫金新干线四期·2室,70.0,5000
整租·紫金新干线 2室1厅 南/北,89.0,6000
整租·天鑫家园 3室1厅 南/北,108.0,6200
整租·紫金新干线 2室1厅 南/北,89.0,6200
整租·霍营·天鑫家园·3室,97.0,6100
合租·霍营·霍营小区·3室·房间B,6.0,1800
整租·华龙苑南里 2室1厅 南/北,64.0,4800
合租·霍营·紫金新干线·4室·房间A,28.0,2940
整租·紫金新干线 3室1厅 南/北,130.0,7500
整租·霍营·华龙苑南里·3室,83.0,6200
整租·华龙苑北里 1室1厅 南,51.0,4600
整租·慧龙居 3室1厅 南/北,119.0,6600
整租·紫金新干线 3室1厅 南/北,133.0,7800
整租·天鑫家园 3室1厅 南/北,108.0,5300
整租·新康园 3室2厅 复式 南/北,151.0,9200
整租·华龙苑南里1室1厅,50.0,4200
合租·霍营·天鑫家园·3室·房间B,23.0,2000
整租·紫金新干线 2室1厅 南/北,89.0,5800
整租·紫金新干线 2室1厅 南/北,87.0,5800
整租·华龙苑南里 2室1厅 南/北,75.0,5600
整租·紫金新干线二期1室0厅,46.0,4500
整租·霍营·华龙苑中里·2室,68.0,5000
整租·霍营·华龙苑中里·2室,56.0,5350
整租·新康园 4室2厅 南/北,172.0,12000
整租·霍营·霍营小区·2室,59.0,4600
合租·霍营·紫金新干线四期·3室·房间A,20.0,2100
整租·新康园 3室1厅 南/北,102.0,7200
整租·霍营·华龙苑南里·2室,75.0,5300
整租·紫金新干线 2室1厅 南,82.0,6360
整租·华龙苑南里3室1厅,85.0,6200
整租·霍营·紫金新干线四期·2室,73.0,5200
整租·华龙苑南里 2室1厅 南/北,68.0,5400
整租·霍营·霍营小区·2室,59.0,4000
整租·华龙苑中里 2室1厅 南/西/北,60.0,5200
整租·紫金新干线 3室1厅 南/北,131.0,7500
整租·新康园 2室1厅 北,92.0,5800
整租·霍营·霍营小区·2室,59.0,4500
整租·霍营·华龙苑北里·2室,90.0,5800
合租·霍营·紫金新干线四期·4室·房间D,16.0,1650
合租·霍营·天鑫家园·3室·房间C,12.0,1850
整租·黄平路8号院 2室1厅 南/北,60.0,4200
整租·新康园2室1厅,67.0,4600
整租·西三旗·新康园·2室,87.0,5800
整租·紫金新干线 3室1厅 南/北,132.0,7000
整租·黄平路8号院 2室1厅 南/北,57.0,5200
整租·华龙苑南里 2室1厅 南,75.0,6330
合租·西三旗·新康园·3室·房间C,13.0,2000
整租·紫金新干线二期 2室1厅 南,93.0,6690
整租·华龙苑南里 3室1厅 南/北,87.0,6300
合租·西三旗·新康园·4室·房间A,25.0,2400
整租·霍营·紫金新干线·2室,103.0,6300
整租·霍营·蓝天园小区·2室,71.0,5500
整租·紫金新干线二期 2室1厅 南/北,87.0,5250
整租·霍营·紫金新干线二区·2室,83.0,6200
整租·霍营·华龙苑南里·2室,71.0,5000
合租·霍营·华龙苑中里·3室·房间A,12.0,2200
整租·紫金新干线3室1厅,133.0,8000
整租·霍营·紫金新干线四期·2室,73.0,5400
合租·霍营·华龙苑南里·3室,28.0,2700
整租·华龙苑南里 2室1厅 南/北,74.0,4800
整租·霍营·霍营小区·2室,60.0,4400
整租·华龙苑南里 2室1厅 南/北,68.0,5000
整租·华龙苑南里 2室1厅 南/北,74.0,5200
合租·霍营·华龙苑南里·5室·房间C,12.0,1400
整租·霍营·紫金新干线二区·2室,89.0,6200
整租·华龙苑北里 2室1厅 南/北,95.0,5600
整租·霍营·华龙苑中里·3室,72.0,4700
整租·霍营·紫金新干线四期·2室,73.0,5000
合租·霍营·天鑫家园·3室·房间C,14.0,1500
整租·霍营·紫金新干线·3室,134.0,8500
整租·华龙苑南里 1室1厅 南/北,56.0,4100
整租·霍营·霍营小区·2室,55.0,3800
整租·新康园2室1厅,73.0,5000
整租·紫金新干线2室1厅,89.0,6000
整租·蓝天园 2室1厅 南/北,78.0,5300
整租·华龙苑南里 2室1厅 南,75.0,6330
整租·西三旗·新康园·1室,73.0,4800
整租·霍营·紫金新干线·2室,82.0,5500
整租·华龙苑中里 2室1厅 南,45.0,5290
整租·霍营·华龙苑中里·1室,45.0,4200
整租·紫金新干线四区2室1厅,70.0,4800
整租·霍营·华龙苑中里·2室,60.0,4100
整租·霍营·紫金新干线·3室,129.0,7900
整租·西三旗·新康园·2室,102.0,7380
合租·霍营·紫金新干线·4室·房间B,18.0,2450
整租·霍营·华龙苑中里·2室,59.0,5200
整租·华龙苑南里 2室1厅 东北,75.0,4500
整租·霍营·天鑫家园·2室,88.0,5200
整租·新康园 1室1厅 南/北,62.0,4500
整租·紫金新干线2室1厅,83.0,6200
整租·霍营·华龙苑南里·3室,87.0,5200
整租·紫金新干线 2室1厅 南/北,89.0,6000
整租·霍营·霍营小区·2室,62.0,4350
整租·北郊医院家属楼 3室1厅 南/北,93.0,5220
整租·霍营·天鑫家园·2室,77.0,5000
整租·华龙苑北里 2室1厅 南/北,90.0,6000
整租·霍营·华龙苑中里·2室,42.0,4200
整租·新康园 2室1厅 东南,99.0,5500
整租·霍营·紫金新干线四期·3室,94.0,5700
整租·华龙苑中里 2室1厅 南/北,71.0,5300
整租·西三旗·新康园·2室,109.0,7000
整租·霍营·华龙苑中里·2室,55.0,4600
整租·霍营·华龙苑北里·2室,79.0,5200
整租·天鑫家园 1室1厅 南,52.0,4600
整租·霍营·霍营小区·2室,60.0,4600
合租·霍营·紫金新干线四期·3室·房间A,20.0,2100
整租·霍营·紫金新干线四期·2室,73.0,5200
整租·霍营·霍营小区·3室,70.0,5000
整租·霍营·华龙苑中里·2室,45.0,4200
整租·霍营·华龙苑南里·3室,117.0,6500
合租·霍营·紫金新干线·4室·房间B,30.0,3350
整租·紫金新干线二期 2室1厅 南,93.0,6690
整租·黄平路8号院 2室1厅 南/北,60.0,4200
整租·新康园 2室1厅 南/北,86.0,5800
整租·西三旗·新康园·2室,65.0,5000
整租·紫金新干线 2室1厅 南/北,88.0,6200
整租·霍营·华龙苑北里·1室,49.0,4400
整租·天鑫家园 2室1厅 南/西,65.0,4600
整租·新康园1室1厅,73.0,5250
整租·紫金新干线 2室1厅 南,82.0,6360
整租·新康园 2室1厅 南,73.0,5775
整租·北七家·王府街18号院·2室,117.0,5000
整租·华龙苑中里 2室1厅 南,61.0,5390
整租·西三旗·新康园·2室,99.0,6000
整租·华龙苑南里1室1厅,52.0,4500
整租·紫金新干线2室1厅,79.0,5500
整租·华龙苑南里 2室1厅 南,60.0,4800
整租·慧龙居 3室1厅 南/北,126.0,6000
整租·蓝天园 2室1厅 南/北,78.0,5800
整租·华龙苑南里 3室1厅 南/西/北,82.0,5900
整租·黄平路8号院 2室1厅 南/北,60.0,5100
整租·华龙苑北里1室1厅,51.0,5200
整租·天鑫家园 1室0厅 北,41.0,3700
合租·霍营·华龙苑中里·3室·房间B,16.0,1550
整租·华龙苑南里 3室1厅 南/北,105.0,5600
整租·新康园2室1厅,87.0,6000
整租·霍营·华龙苑南里·2室,74.0,4900
整租·霍营·华龙苑南里·2室,73.0,6000
整租·霍营小区 2室1厅 南/北,47.0,4800
整租·新康园 2室1厅 南,74.0,5000
整租·天鑫家园1室1厅,61.0,4500
合租·西三旗·新康园·6室·房间C,15.0,1750
整租·霍营·蓝天园小区·3室,98.0,6500
整租·天鑫家园 1室1厅 南/北,59.0,4500
整租·霍营·紫金新干线二区·3室,89.0,6100
合租·霍营·紫金新干线·4室·房间C,15.0,2000
整租·霍营·紫金新干线二区·2室,89.0,6200
整租·天鑫家园 2室1厅 南/北,87.0,5000
整租·霍家营2室1厅,73.0,5000
整租·天鑫家园 3室1厅 南/北,108.0,5300
整租·紫金新干线 2室1厅 南,91.0,6300
整租·霍营·紫金新干线·2室,86.0,5500
整租·霍营·蓝天园小区·2室,75.0,5000
整租·霍营·紫金新干线·2室,82.0,5900
整租·霍营·紫金新干线四期·2室,71.0,5500
整租·紫金新干线二期 2室1厅 南/北,89.0,6100
整租·慧龙居 3室2厅 南/北,125.0,7200
整租·新康园 2室1厅 东南,73.0,5000
整租·天鑫家园 1室1厅 北,51.0,4777
整租·蓝天园2室1厅,78.0,5200
整租·霍营·华龙苑南里·3室,87.0,6800
整租·霍营·华龙苑中里·2室,55.0,4600
整租·紫金新干线二期2室1厅,88.0,5000
整租·新康园2室1厅,91.0,5250
整租·华龙苑中里 1室0厅 北,43.0,4300
整租·霍营·华龙苑中里·3室,120.0,6300
整租·霍营·华龙苑中里·2室,61.0,4800
整租·新康园 3室2厅 复式 南/北,151.0,9200
合租·霍营·紫金新干线四期·4室·房间A,20.0,2100
整租·西三旗·新康园·2室,91.0,5700
整租·霍家营 2室1厅 东/西,73.0,5460
整租·华龙苑南里 2室1厅 南/北,68.0,5400
整租·西三旗·新康园·1室,73.0,4800
整租·霍营小区2室1厅,76.0,4800
整租·华龙苑南里 3室1厅 南/北,87.0,6300
合租·霍营·天鑫家园·3室·房间C,15.0,1900
整租·新康园2室1厅,67.0,4600
合租·西三旗·新康园·4室·房间A,25.0,2400
整租·西三旗·新康园·3室,91.0,6300
整租·紫金新干线 2室1厅 南/北,87.0,5800
整租·霍营·紫金新干线·3室,130.0,6800
整租·蓝天园 2室1厅 南/北,63.0,4800
整租·华龙苑中里2室1厅,32.0,5160
合租·霍营·华龙苑北里·6室·房间F,18.0,1500
整租·华龙苑中里 2室1厅 南,61.0,5390
整租·霍营·华龙苑中里·1室,37.0,4200
整租·霍营·霍营小区·2室,60.0,4400
整租·新康园 2室1厅 北,92.0,5800
整租·华龙苑北里2室1厅,96.0,6000
整租·紫金新干线四区2室1厅,70.0,4800
整租·紫金新干线二期 2室1厅 南/北,88.0,6300
合租·霍营·紫金新干线二区·3室·房间C,15.0,1900
整租·紫金新干线二期 2室1厅 南/北,88.0,5200
整租·霍营·霍营小区·2室,60.0,4600
整租·霍营·华龙苑中里·2室,62.0,4600
合租·西三旗·新康园·3室·房间C,13.0,2000
整租·紫金新干线二期 2室1厅 南/北,89.0,6600
整租·华龙苑北里 2室1厅 南/北,90.0,6200
整租·华龙苑南里2室1厅,73.0,4900
整租·天鑫家园1室1厅,65.0,4350
整租·霍营·紫金新干线二区·2室,89.0,6200
整租·新康园2室1厅,73.0,5000
合租·霍营·华龙苑北里·6室·房间D,26.0,2700
整租·霍营·华龙苑南里·2室,75.0,5300
整租·紫金新干线 2室1厅 南,82.0,5600
整租·紫金新干线 3室1厅 南/北,132.0,7000
整租·西三旗·新康园·2室,87.0,5800
合租·霍营·紫金新干线四期·3室·房间B,9.0,1500
整租·霍营·紫金新干线二区·2室,88.0,6200
整租·霍营·华龙苑北里·2室,78.0,5700
整租·华龙苑中里2室1厅,50.0,4600
合租·霍营·紫金新干线四期·4室·房间D,16.0,1650
整租·霍营·霍营小区·2室,59.0,4600
合租·霍营·华龙苑北里·6室·房间A,25.0,2400
整租·华龙苑南里 2室1厅 南/北,71.0,4800
整租·新康园 1室1厅 北,67.0,5000
合租·霍营·紫金新干线四期·3室·房间B,15.0,1800
整租·霍营·紫金新干线四期·3室,88.0,5400
合租·西三旗·新康园·4室·房间A,25.0,2400
整租·霍营·华龙苑南里·2室,60.0,5000
整租·紫金新干线 2室1厅 南,91.0,6530
整租·华龙苑北里 2室1厅 南/北,90.0,6000
整租·西三旗·新康园·3室,91.0,6300
整租·华龙苑北里 1室1厅 南,51.0,4600
整租·霍营·华龙苑北里·2室,95.0,6300
整租·霍营·霍营小区·3室,72.0,5200
整租·霍家营 2室1厅 南,74.0,4997
整租·霍营·华龙苑中里·2室,59.0,5200
合租·霍营·紫金新干线·4室·房间B,30.0,3350
合租·霍营·天鑫家园·3室·房间C,22.0,1800
整租·霍营·华龙苑中里·1室,49.0,4200
合租·霍营·紫金新干线·4室·房间D,13.0,2150
整租·霍营·紫金新干线·3室,134.0,8500
整租·西三旗·新康园·2室,65.0,5000
整租·霍营·紫金新干线二区·2室,89.0,6600
整租·西三旗·新康园·2室,87.0,5800
整租·霍营·紫金新干线·3室,138.0,8500
整租·天鑫家园 1室1厅 西,54.0,4666
整租·新康园 2室1厅 南,74.0,5000
整租·天鑫家园 1室1厅 南,59.0,4600
整租·华龙苑中里 1室1厅 南,35.0,4782
整租·霍营·霍营小区·3室,69.0,5000
合租·霍营·华龙苑南里·3室,18.0,2400
整租·霍营·霍营小区·2室,60.0,4500
整租·霍营·华龙苑南里·3室,87.0,5200
合租·霍营·华龙苑中里·3室·房间C,11.0,1700
合租·霍营·紫金新干线·4室·房间B,18.0,2450
整租·华龙苑中里2室1厅,32.0,5160
整租·紫金新干线二期 2室1厅 南/北,89.0,6200
整租·华龙苑中里 2室1厅 东南/南/北,95.0,5565
整租·西三旗·新康园·2室,99.0,6000
整租·霍营·华龙苑中里·2室,69.0,4500
整租·霍营·紫金新干线·2室,82.0,6000
整租·天鑫家园 1室0厅 北,44.0,4270
整租·新康园 1室1厅 东,73.0,5500
整租·霍营·紫金新干线·3室,133.0,8600
合租·霍营·华龙苑南里·5室·房间C,12.0,1400
整租·天鑫家园 1室1厅 北,51.0,4830
合租·霍营·天鑫家园·3室·房间B,20.0,1700
整租·霍营·紫金新干线二区·3室,133.0,8500
整租·紫金新干线 3室2厅 南/北,133.0,7900
整租·华龙苑中里 1室0厅 北,40.0,4300
合租·霍营·华龙苑中里·3室·房间C,10.0,1750
整租·霍营·紫金新干线四期·2室,70.0,5000
整租·蓝天园2室1厅,72.0,5000
整租·华龙苑南里 3室1厅 南/北,83.0,5000
整租·紫金新干线 2室1厅 南/北,89.0,6000
整租·霍营·霍营小区·2室,59.0,4700
整租·霍营·紫金新干线四期·2室,70.0,4800
整租·霍营·华龙苑南里·3室,87.0,5700
整租·霍营·华龙苑南里·2室,87.0,5700
整租·霍营·霍营小区·2室,62.0,4900
整租·霍营·华龙苑中里·1室,45.0,4500
整租·新康园2室1厅,73.0,5000
合租·霍营·华龙苑北里·6室·房间D,26.0,2700
整租·霍营·紫金新干线二区·2室,88.0,6300
合租·霍营·天鑫家园·3室·房间C,22.0,1800
整租·紫金新干线 3室1厅 南/北,129.0,7500
整租·霍营小区 3室1厅 南/北,69.0,5000
整租·华龙苑南里 2室1厅 南,61.0,5000
整租·霍营·华龙苑北里·2室,95.0,6300
整租·华龙苑南里1室1厅,50.0,4600
整租·霍营·紫金新干线四期·2室,88.0,5500
整租·华龙苑南里 2室1厅 南/北,60.0,5000
整租·霍营·天鑫家园·3室,97.0,6100
整租·紫金新干线二期2室1厅,93.0,5500
整租·华龙苑中里 2室1厅 南/北,56.0,4650
整租·霍营·华龙苑南里·2室,75.0,6000
整租·霍营·华龙苑南里·1室,35.0,4300
整租·华龙苑中里 2室1厅 南/北,56.0,4800
整租·西三旗·新康园·2室,87.0,5600
合租·霍营·天鑫家园·3室·房间C,14.0,1500
整租·北郊医院家属楼 3室1厅 南/北,93.0,5220
整租·霍营·紫金新干线四期·1室,90.0,12000
整租·华龙苑南里1室1厅,50.0,4200
整租·霍营·天鑫家园·2室,82.0,5000
整租·华龙苑南里 2室1厅 南,60.0,5200
整租·天鑫家园 2室1厅 南,78.0,5290
整租·天鑫家园 3室2厅 南/北,137.0,6600
