名称,面积(㎡),小区,总价(万),单价(元/㎡)
中海尚湖世家 联排别墅 精装修 带电梯,344.48,中海尚湖世家,1180.0,34254.0
中海尚湖世家 独栋别墅 5室4厅 毛坯房 前二后三,563.64,中海尚湖世家,2050.0,36370.0
泰禾丽春湖新中式内独栋 人车分流带室内电梯4间卧室2车库,376.46,泰禾丽春湖院子,1160.0,30813.0
中海瓦尔登湖 临湖独栋1000平院 7米挑空客厅 5间卧室,750.0,中海瓦尔登湖,3500.0,46666.0
中海瓦尔登湖环边上 临湖位置院800 南客厅8米挑空5间卧室,469.55,中海瓦尔登湖,2500.0,53242.0
中海瓦尔登湖 南厅挑空无遮挡!邻地铁高速!北入户,469.55,中海瓦尔登湖,2380.0,50686.0
中海瓦尔登湖 茨临湖独栋 院800平 7米挑空客厅 5间卧室,441.0,中海瓦尔登湖别墅,2300.0,52154.0
中海瓦尔登湖 独栋别墅 4室4厅 精装修,449.0,中海瓦尔登湖,2650.0,59020.0
碧水庄园3期临湖大宅 占地3500平 6间卧室 挑空南厅,752.0,碧水庄园,5980.0,79521.0
临近1万平水系公园的房子 整体保持 可以保洁入住,268.1,北京玫瑰园,1400.0,52219.0
碧水庄园3期 临湖占地2500 8米挑空南客厅 位置好,560.0,碧水庄园,4400.0,78571.0
玫瑰园 6室3厅 271.05平,271.05,北京玫瑰园,1500.0,55340.0
北入户双拼带露天平台 三层已经改造完成,271.05,北京玫瑰园,1450.0,53495.0
中海尚湖世家 独栋别墅 法式风格 前二后三,564.0,中海尚湖世家,1980.0,35106.0
碧水庄园3期 湖边大宅 占地3000 带电梯 9米挑空南客厅,758.88,碧水庄园,5800.0,76428.0
泰禾丽春湖 带室内电梯 5间卧室 3车库 全新小区,300.0,泰禾丽春湖院子,1250.0,41666.0
碧水庄园3期 1800装修 带电梯 泳池 院2500 6间卧,743.0,碧水庄园,5600.0,75370.0
精装双拼 整体保持很好 户型使用设计,263.71,北京玫瑰园,1490.0,56501.0
临近小区湖面 花园超大 位置棒,399.0,北京玫瑰园,3700.0,92731.0
玫瑰园3期 800万装修 900平院 挑空客厅 全部地暖,378.0,北京玫瑰园,2800.0,74074.0
中海尚湖世家 独栋别墅 精装修 前二后三,690.0,中海尚湖世家,2200.0,31884.0
玫瑰园 5室4厅 355.58平,355.58,北京玫瑰园,3400.0,95618.0
中海瓦尔登湖 独栋别墅 5室5厅 毛坯房 邻水,768.79,中海瓦尔登湖,4998.0,65011.0
整个园区稀有户型 采光特好的户型 随时看房,631.08,北京玫瑰园,5090.0,80655.0
"二期南入户,地上三层,550平+200平花园,南侧西侧无遮挡",291.13,北京玫瑰园,2100.0,72132.0
南侧大挑空 落地大窗 任何时间段采光视野很好,377.26,北京玫瑰园,2600.0,68917.0
精装双拼 在售双拼装修超好的一套,266.7,北京玫瑰园,1500.0,56242.0
南排独栋(南面绿地)客厅挑空 精装7居室 全屋地暖,553.93,中海尚湖世家,2300.0,41521.0
碧水庄园3期 5间卧室占地2200 室内8米调控客厅 带装修,559.0,碧水庄园,4200.0,75134.0
正南泰禾丽春湖4室3厅,411.21,泰禾丽春湖院子,2300.0,55932.0
碧水庄园3期 2019年800w装修8米挑空厅 带电梯 地暖,314.0,碧水庄园,4100.0,130573.0
中海尚湖世家 联排别墅 6室3厅 精装修,349.0,中海尚湖世家,1349.0,38653.0
碧水庄园 院400 南客厅7米挑空 4间卧室 价格可谈,372.52,碧水庄园,1500.0,40266.0
中海尚湖世家5室3厅豪华装修,563.42,中海尚湖世家,2350.0,41709.0
碧水庄园轰趴馆 临湖大独栋 业主真实报价 可谈,750.0,碧水庄园,6100.0,81333.0
北街家园(六区)3室273.00万元难得的好户型急售,77.0,北街家园六区,273.0,35454.0
中海尚湖世家 东区精装联排出售,344.48,中海尚湖世家,1350.0,39189.0
北京玫瑰园 三期精装独栋 直接领包入住,362.0,北京玫瑰园,3200.0,88397.0
"您的满意,我的追求!北街家园(六区)给力房源",26.0,北街家园六区,125.0,48076.0
碧水庄园 豪华装修独栋 城堡型大别墅,743.3,碧水庄园,7500.0,100901.0
三期精装独栋 豪华装修 保洁入住,362.35,北京玫瑰园,2900.0,80033.0
北京玫瑰园 三期法式独栋大别墅,735.37,北京玫瑰园,4500.0,61193.0
中海尚湖世家 两千万的独栋大宅,564.44,中海尚湖世家,2160.0,38268.0
北京玫瑰园双拼 精装东边户诚售,271.05,北京玫瑰园,1350.0,49806.0
"北京玫瑰园 300平米花园双拼,您不妨看一看",290.48,北京玫瑰园,1700.0,58523.0
玫瑰园 5室3厅 233.74平,233.74,北京玫瑰园,1650.0,70591.0
"房子大户型,还带600平的大花园",497.5,北京玫瑰园,4500.0,90452.0
泰禾丽春湖 边户大户型,467.41,泰禾丽春湖院子,2500.0,53486.0
"北京玫瑰园,错过只能去后悔,失去不能拥有",268.64,北京玫瑰园,2500.0,93061.0
临湖豪宅 豪华装修 带泳池 随时看房,735.0,北京玫瑰园,5100.0,69387.0
北京玫瑰园 双拼中装修很好 很棒的一套房子,268.1,北京玫瑰园,1500.0,55949.0
三期双拼 南侧排 百亩绿地尽收眼底,289.12,中海瓦尔登湖,1798.0,62188.0
尚湖世家精装联排别墅 拎包入住 采光好,349.1,中海尚湖世家,1495.0,42824.0
优质小独栋 户型 随时看房,285.73,北京玫瑰园,2190.0,76645.0
沙河高教园地铁东侧总高四层带电梯85.78平精装三居室,85.78,住总·清樾府,369.0,43017.0
中海尚湖世家 带电梯的精装五层联排,349.13,中海尚湖世家,1250.0,35803.0
南向独栋 落地大挑空客厅“奢华大气”,541.44,北京玫瑰园,3500.0,64642.0
北五环 复式大两居 上下165平月租金8500 业主急售!!,82.0,珠江摩尔,175.0,21341.0
北京玫瑰园7室4厅豪华装修,391.26,北京玫瑰园,4050.0,103511.0
北京玫瑰园 小区为数不多在售精装小独栋 随时看房,285.73,北京玫瑰园,2300.0,80495.0
碧水庄园 南入院 南花园 占地2300平米独栋,759.0,碧水庄园,5900.0,77733.0
碧水庄园 东入院 南入户毛坯独栋,570.0,碧水庄园,4800.0,84210.0
北京玫瑰园临湖豪华装修景观大独栋,631.0,北京玫瑰园,5000.0,79239.0
"京北新盘,均价4万,104.18平精装两居室",104.18,北京建工·嘉境里,366.0,35131.0
北京玫瑰园 方正 采光好 精装小独栋,291.13,北京玫瑰园,2150.0,73850.0
北京玫瑰园 购玫瑰园别墅不用东奔西跑 环球一站就到,475.0,北京玫瑰园,3500.0,73684.0
北京玫瑰园 双拼东边户 好房子在环球,233.74,北京玫瑰园,1800.0,77008.0
玫瑰园 6室4厅 311.4平,311.4,北京玫瑰园,1900.0,61014.0
"花园1300平,临湖大独栋,南侧全面临湖,风景优美",607.72,北京玫瑰园,5500.0,90502.0
中海瓦尔登湖 精装大花园独栋,469.55,中海瓦尔登湖别墅,2450.0,52177.0
碧水庄园 三期次临湖毛坯独栋 急售,741.0,碧水庄园,4888.0,65964.0
"北京玫瑰园,三期精装临水独栋,独立泳池",1029.14,北京玫瑰园,7600.0,73848.0
北京玫瑰园精装独栋 大花园 优质房,475.8,北京玫瑰园,3000.0,63051.0
北京玫瑰园 次临湖精装独栋 价格可谈,362.35,北京玫瑰园,2980.0,82240.0
"新出好房,沙河临地铁,总高4层精装修洋房,国企开发,随时可看",86.0,住总·清樾府,300.0,34883.0
北京玫瑰园 精装小独栋 诚心出售,277.68,北京玫瑰园,2500.0,90031.0
北京玫瑰园 精装小独栋 全新装修 全屋套房,237.85,北京玫瑰园,2500.0,105108.0
源一的决策 一辈子的寄托 幸福就在你一念间!,35.41,北街家园八区,139.0,39254.0
"便宜只是一方面,房子好才是硬道理!!",78.68,北街家园一区,312.0,39654.0
碧水庄园 业主提供真实报价 急售 次临胡精装大独栋,747.0,碧水庄园,5950.0,79651.0
"新出好房,沙河临地铁,总高4层精装修洋房,国企开发,随时可看",99.0,住总·清樾府,370.0,37373.0
经典双拼北入户 房子距离公园很近 不把围墙,233.74,北京玫瑰园,1300.0,55617.0
"惊了!800㎡使用空间,这三期别墅才是真“空间魔术手”",362.35,北京玫瑰园,3200.0,88312.0
"结合所有优点,躲避所有缺点,它就是经典。",88.0,北街家园六区,269.0,30568.0
北京玫瑰园 原售楼处租售一体,497.5,北京玫瑰园,4500.0,90452.0
碧水庄园3期大宅 院2300平 室内毛坯 可装电梯 5间套房,758.0,碧水庄园,4500.0,59366.0
"京北新盘,均价4万95.97平精装两居室",95.97,北京建工·嘉境里,345.0,35948.0
玫瑰园 三期新出精装独栋 大花园1000平,368.0,北京玫瑰园,3000.0,81521.0
中海尚湖世家 有挑空的急售 低价 好房 诚意出售,347.21,中海尚湖世家,1150.0,33121.0
"550平地上三层的挑空别墅,每一层都戳中生活痛点!",237.85,北京玫瑰园,2500.0,105108.0
泰禾丽春湖 业主降价急售 价格好谈,565.0,泰禾丽春湖院子,2200.0,38938.0
"结合所有优点,躲避所有缺点,它就是经典。",88.0,北街家园六区,269.0,30568.0
"独栋650平花园别墅,精装修,雅宅诚售",368.32,北京玫瑰园,3100.0,84165.0
南向独栋 落地大挑空客厅“奢华大气”,541.44,北京玫瑰园,3500.0,64642.0
中海尚湖世家5室3厅豪华装修,563.42,中海尚湖世家,2350.0,41709.0
北京玫瑰园双拼 精装东边户诚售,271.05,北京玫瑰园,1350.0,49806.0
北京玫瑰园 三期正座 精装大挑空独栋,476.0,北京玫瑰园,2999.0,63004.0
泰禾丽春湖 低价可谈别墅,378.92,泰禾丽春湖院子,1270.0,33516.0
北京玫瑰园 2350万大独栋 稀缺位置 四周环路 现毛坯状态,758.39,北京玫瑰园,3500.0,46150.0
北京玫瑰园 精装小独栋 全新装修 全屋套房,237.85,北京玫瑰园,2500.0,105108.0
北美外观 全新设计户型 南向大挑空610平,237.85,北京玫瑰园,2100.0,88290.0
三期双拼 南侧排 百亩绿地尽收眼底,289.12,中海瓦尔登湖,1798.0,62188.0
北京玫瑰园 原售楼处租售一体,497.5,北京玫瑰园,4500.0,90452.0
"房子大户型,还带600平的大花园",497.5,北京玫瑰园,4500.0,90452.0
玫瑰园 三期新出精装独栋 大花园1000平,368.0,北京玫瑰园,3000.0,81521.0
碧水庄园轰趴馆 临湖大独栋 业主真实报价 可谈,750.0,碧水庄园,6100.0,81333.0
优质小独栋 户型 随时看房,285.73,北京玫瑰园,2190.0,76645.0
"南入户双拼,一路之隔是小区公园,好位置",233.74,北京玫瑰园,1200.0,51339.0
北京玫瑰园 购玫瑰园别墅不用东奔西跑 环球一站就到,475.0,北京玫瑰园,3500.0,73684.0
经典双拼北入户 房子距离公园很近 不把围墙,233.74,北京玫瑰园,1300.0,55617.0
碧水庄园 东入院 南入户毛坯独栋,570.0,碧水庄园,4800.0,84210.0
北街家园(六区)3室273.00万元难得的好户型急售,77.0,北街家园六区,273.0,35454.0
中海尚湖世家 东区精装联排出售,344.48,中海尚湖世家,1350.0,39189.0
北京玫瑰园临湖豪华装修景观大独栋,631.0,北京玫瑰园,5000.0,79239.0
三期超棒户型 180度观景 小区中心位置 花园集中,475.8,北京玫瑰园,3300.0,69356.0
中海尚湖世家 精装联排边户出售,359.37,中海尚湖世家,1600.0,44522.0
"采光绝绝子,欧式奢华风直接拉满!",285.73,北京玫瑰园,2400.0,83995.0
沙河高教园地铁东侧总高四层带电梯85.78平精装三居室,85.78,住总·清樾府,369.0,43017.0
"中海瓦尔登湖核心美宅,温馨4室,点击一次 幸福一生",289.1,中海瓦尔登湖,1500.0,51885.0
碧水庄园 城堡型次临胡豪华改造 价格业主提供 真实可谈,758.21,碧水庄园,8000.0,105511.0
"京北新盘,均价4万95.97平精装两居室",95.97,北京建工·嘉境里,345.0,35948.0
"住总集团倾力打造,99平南北通透精装三居室总高四层带电梯",99.38,住总·清樾府,468.0,47091.0
民园小区南北通透两居 满五住宅 总价156急售,75.0,民园小区,156.0,20800.0
民园小区 54平2居 业主急售 看房方便 拎包入住,54.0,民园小区,110.0,20370.0
泰禾丽春湖 4室3厅,376.46,泰禾丽春湖院子,1390.0,36922.0
保真!海淀北 沙河独栋别墅 碧水庄园 挨着园区大湖 靠谱,571.86,碧水庄园,4800.0,83936.0
玫瑰园 5室2厅 南 北,268.1,北京玫瑰园,1600.0,59679.0
北街家园六区 2室1厅 72.11平,72.11,北街家园六区,216.0,29954.0
民园小区 2室2厅 68.07平,68.07,民园小区,169.0,24827.0
民园小区 2室2厅 74.9平,74.9,民园小区,188.0,25100.0
"中海瓦尔登湖,小区中间位置,边户大花园",422.3,中海丽春湖墅·别墅,2250.0,53279.0
"国企开发,精装修洋房,紧邻高教园地铁站,高使用率,配套齐全",85.0,梧桐星宸,377.0,44352.0
北街家园一区 4室1厅 141.69平,141.69,北街家园一区,500.0,35288.0
保利芳园 1室1厅 42.27平,42.27,保利芳园,135.0,31937.0
北街家园一区 2室1厅 89.34平,89.34,北街家园一区,315.0,35258.0
宏星地产推荐 精装修 有钥匙 售价5500万,758.44,碧水庄园,5500.0,72517.0
宏星地产推荐 碧水庄园 精装修 售价5000万,741.28,碧水庄园,5000.0,67450.0
"国企开发,精装修洋房,紧邻高教园地铁站,高使用率,配套齐全",85.0,梧桐星宸,380.0,44705.0
北街家园五区 3室1厅 89.24平,89.24,北街家园五区,299.0,33505.0
保利芳园 2室1厅 51.53平,51.53,保利芳园,185.0,35901.0
中海尚湖世家 沙河地铁旁 南庭院全明格局 精装大独栋 可谈价,553.93,中海尚湖世家,2300.0,41521.0
"【6】折出售碧水庄园三期纯独栋别墅,占地3.5亩,只卖30天",509.93,碧水庄园,2950.0,57851.0
"梧桐星晨,精装修洋房,昌平线沙河高教园地铁站",99.0,梧桐星宸,480.0,48484.0
沙河镇南一村 3室1厅 74.57平,74.57,南一村小区,200.0,26820.0
"碧水庄园一期,中间位置大独栋,占地550平米",312.01,碧水庄园,2500.0,80125.0
碧水庄园一期B5户型 8室3厅 308.12平 挑空客厅,308.12,碧水庄园,3900.0,126574.0
"地铁昌平线沙河高教园,59-124平米1至4居精装,海淀教育",99.0,梧桐星宸,411.0,41515.0
北街家园六区 2室1厅 76.64平,76.64,北街家园六区,215.0,28053.0
民园小区 2室1厅 74.9平,74.9,民园小区,208.0,27770.0
北街家园一区 3室1厅 88.4平,88.4,北街家园一区,315.0,35633.0
北街家园三区 4室3厅 253.58平,253.58,北街家园,800.0,31548.0
民园小区 2室2厅 74.9平,74.9,民园小区,188.0,25100.0
北街家园(八区)免费车位拎包入住南北朝向电梯房,89.0,北街家园八区,285.0,32022.0
中海尚湖世家5室4厅,563.64,中海尚湖世家,2050.0,36370.0
保真!碧水庄园 三期临湖B2户型 毛坯大独栋,758.17,碧水庄园,8000.0,105517.0
北街家园一区 2室1厅 89.34平,89.34,北街家园一区,315.0,35258.0
北街家园六区 2室1厅 76.68平,76.68,北街家园六区,183.0,23865.0
"碧水庄园,独栋独栋别墅,可以安排看房",415.2,碧水庄园,2400.0,57803.0
"梧桐星晨,精装修洋房,昌平线沙河高教园地铁站",99.0,梧桐星宸,480.0,48484.0
"这样好的房子,你还要继续观望,等错过再后悔莫及吗",60.36,北街家园六区,210.0,34791.0
回龙观现房5.4米高 两层结构带气近生命科学园站购买资质简单,82.0,珠江摩尔公元,180.0,21951.0
此房税费低北街家园(六区)精装2居室 业主急售 比同户型单价,68.97,北街家园六区,230.0,33347.0
"中海尚湖世家精装修独栋别墅,位置佳采光好",559.89,中海尚湖世家,2800.0,50009.0
民园小区 2室1厅 53.59平,53.59,民园小区,139.0,25937.0
中海尚湖世家 4室2厅 359.37平,359.37,中海尚湖世家,1500.0,41739.0
"奢华的房源,朴实的价位,您为此停留而选择!",52.0,保利芳园,225.0,43269.0
北街家园C区中间层大6居独立客厅前后不临街,147.0,北街家园C区公寓,685.0,46598.0
首钢一线材厂东宿舍 3室1厅 68.92平,68.92,首钢一线材厂东宿舍居,220.0,31921.0
"保真!碧水庄园,次临湖别墅,占地2350㎡,花园面积1400",758.88,碧水庄园,8000.0,105418.0
博达小区 近地铁 清晰 满五 中间楼层 南北通透,82.0,博达小区,246.0,30000.0
"我写的不是标题和描述,写的是你们没有找到一套好的房源的遗憾",124.12,北街家园八区,450.0,36255.0
民园小区 2室1厅 54.64平,54.64,民园小区,169.0,30929.0
玫瑰园 5室2厅 南 北,268.1,北京玫瑰园,1600.0,59679.0
"国企开发,精装修洋房,紧邻高教园地铁站,高使用率,配套齐全",75.0,梧桐星宸,340.0,45333.0
"【6】折出售碧水庄园三期纯独栋别墅,占地3.5亩,只卖30天",509.93,碧水庄园,2950.0,57851.0
保利芳园 2室1厅 52.43平,52.43,保利芳园,190.0,36238.0
中海尚湖世家-下叠大花园边户+精装修,296.46,中海尚湖世家,1240.0,41826.0
北街家园六区 2室1厅 69.85平,69.85,北街家园六区,199.0,28489.0
北街家园一区 精装修3房+南北通透+全配+位置安静+实景拍摄,136.02,北街家园一区,475.0,34921.0
中海瓦尔登湖 南向客厅挑空 低密社区!交通方便!北入户!急售,469.55,中海瓦尔登湖,2380.0,50686.0
北街家园一区 3室1厅 89.34平,89.34,北街家园一区,299.0,33467.0
北街家园八区 2室1厅 38.34平,38.34,北街家园八区,168.0,43818.0
"D调的奢华:明发滨江,欧式田园风,豪华装修",124.0,北街家园八区,419.0,33790.0
北街家园(六区) 南北通透 中间好楼层 满五 低容积,76.64,北街家园六区,215.0,28053.0
民园小区 2室1厅 53.59平,53.59,民园小区,125.0,23325.0
玫瑰园别墅 精装修 拎包入住 满五 诚心出售,266.7,北京玫瑰园,1500.0,56242.0
正南 碧水庄园 8室4厅 精装修,750.0,碧水庄园,5980.0,79733.0
北街家园C区婚房3室 采光充足南北中间楼层,146.75,北街家园C区公寓,560.0,38160.0
"地铁昌平线沙河高教园,59-124平米1至4居精装,海淀教育",99.0,梧桐星宸,411.0,41515.0
北科建泰禾丽春湖 7室3厅 726.64平,726.64,丽春湖院子,3400.0,46790.0
民园小区 3室1厅 87.89平,87.89,民园小区,245.0,27875.0
北科建泰禾丽春湖 4室4厅 196.35平,196.35,丽春湖院子,1450.0,73847.0
北街家园一区 2室1厅 73.17平,73.17,北街家园一区,268.0,36627.0
保利芳园 1室1厅 41.94平,41.94,保利芳园,139.0,33142.0
中海尚湖世家 5室2厅 344.48平,344.48,中海尚湖世家,1280.0,37157.0
毛条小区 1室1厅 56.37平,56.37,毛条小区,158.0,28029.0
"希望源于失望,奋斗始于忧患适合的房子在于一个懂你的!",73.0,北街家园五区,269.0,36849.0
南北通透北街家园C区公寓5室3厅,272.0,北街家园C区公寓,900.0,33088.0
五福家园 3室2厅 122.23平,122.23,五福家园,299.0,24462.0
北京玫瑰园正规5室3厅楼层好户型方正房龄新,242.07,北京玫瑰园,1300.0,53703.0
"北街家园(六区)核心美宅,温馨3室,点击一次 幸福一生",77.43,北街家园六区,268.0,34611.0
全明格局!!户型方正!!业主急出售大降价!!,89.0,北街家园八区,237.0,26629.0
玫瑰园 5室2厅 271.05平,271.05,北京玫瑰园,1380.0,50913.0
低价购房:124平689万8号线高教园站6百米1-4室看描述,124.0,梧桐星宸,689.0,55564.0
北街家园一区 2室1厅 73.21平,73.21,北街家园一区,240.0,32782.0
中海尚湖世家 沙河地铁新装电梯独栋别墅 靠谱出 价格可聊,567.44,中海尚湖世家,2530.0,44586.0
北街家园五区 3室1厅 89.24平,89.24,北街家园五区,299.0,33505.0
北京玫瑰园10居室户型房正采光好不临街新上房源!,631.0,北京玫瑰园,5500.0,87163.0
中海尚湖世家6室2厅,690.0,中海尚湖世家,2200.0,31884.0
中海尚湖世家6室2厅,690.0,中海尚湖世家,2200.0,31884.0
"五福家园精装修,房东急售,当居住融入环境,心也随之淡定",120.54,五福家园,308.0,25551.0
高档小区 人文荟萃 高品质的象征 体验奢华生活,89.0,北街家园七区,270.0,30337.0
中海尚湖世家6室2厅,690.0,中海尚湖世家,2200.0,31884.0
"希望源于失望,奋斗始于忧患适合的房子在于一个懂你的!",73.0,北街家园五区,269.0,36849.0
民园小区 2室1厅 69.23平,69.23,民园小区,168.0,24266.0
"地铁沙河高教园站,总高4层花园洋房,国企开发,住总清樾府",88.0,住总·清樾府,322.0,36590.0
玫瑰园 5室2厅 南 北,268.1,北京玫瑰园,1600.0,59679.0
"碧水庄园,独栋独栋别墅,可以安排看房",415.2,碧水庄园,2550.0,61416.0
"玫瑰园独栋别墅带私家电梯,上下3层6居室精装修满五",237.0,北京玫瑰园,2300.0,97046.0
北京玫瑰园4室3厅精装修,260.0,北京玫瑰园,1550.0,59615.0
民园小区 2室2厅 74.9平,74.9,民园小区,159.0,21228.0
"国企开发,精装修洋房,紧邻高教园地铁站,高使用率,配套齐全",75.0,梧桐星宸,323.0,43066.0
中海尚湖世家 4室2厅 359.37平,359.37,中海尚湖世家,1500.0,41739.0
"D调的奢华:明发滨江,欧式田园风,豪华装修",124.0,北街家园八区,419.0,33790.0
"中海尚湖世家,开发商的样板间,带装修,",295.32,中海尚湖世家,1150.0,38940.0
北街家园六区 2室1厅 76.68平,76.68,北街家园六区,216.0,28169.0
"顺驰林溪j价格合理,出行方便,小区非常适合居住",382.0,顺驰林溪,1050.0,27486.0
中海尚湖世家 联排边户 诚意出售,354.82,中海尚湖世家,1160.0,32692.0
碧水庄园3期 占地1500平 800万装修 挑空南客厅,314.06,碧水庄园,3600.0,114627.0
民园小区 2室1厅 53.59平,53.59,民园小区,139.0,25937.0
北街家园一区 3室1厅 132.24平,132.24,北街家园一区,495.0,37431.0
北街家园一区正规3室1厅楼层好户型方正房龄新,90.42,北街家园一区,288.0,31851.0
"保真!碧水庄园三期次临湖 独栋别墅,占地2535㎡",739.48,碧水庄园,3800.0,51387.0
"这样好的房子,你还要继续观望,等错过再后悔莫及吗",126.68,北街家园C区公寓,510.0,40258.0
"玫瑰园独栋别墅带私家电梯,上下3层6居室精装修满五",237.0,北京玫瑰园,2300.0,97046.0
北街家园一区 2室1厅 73.17平,73.17,北街家园一区,268.0,36627.0
中海瓦尔登湖 碧水庄园 北京玫瑰园,256.66,中海瓦尔登湖别墅,1470.0,57274.0
中海尚湖世家 沙河地铁新装电梯独栋别墅 靠谱出 价格可聊,567.44,中海尚湖世家,2530.0,44586.0
中海尚湖世家独栋别墅 5室2厅 564.44平 位置佳采光好,564.44,中海尚湖世家,2160.0,38268.0
中海尚湖世家6室2厅,690.0,中海尚湖世家,2200.0,31884.0
北街家园五区 3室1厅 89.24平,89.24,北街家园五区,299.0,33505.0
"中海瓦尔登湖独栋,大独栋",469.55,中海瓦尔登湖别墅,2280.0,48557.0
玫瑰园 5室2厅 377.26平,377.26,北京玫瑰园,2990.0,79255.0
北科建泰禾丽春湖 7室3厅 726.64平,726.64,丽春湖院子,3400.0,46790.0
朱辛庄中海瓦尔登湖独栋,449.0,中海瓦尔登湖别墅,2700.0,60133.0
此房税费低北京玫瑰园精装9居室 业主急售 比同户型单价低,1028.0,北京玫瑰园,5388.0,52412.0
泰禾丽春湖 4室3厅,376.46,泰禾丽春湖院子,1390.0,36922.0
"中海尚湖世家,中间位置毛坯纯独栋",692.51,中海尚湖世家,1950.0,28158.0
"临湖独栋别墅,占地2800平,,带电梯,使用空间一千",593.91,碧水庄园,7500.0,126281.0
宏星地产推荐 碧水庄园 法式城堡 精装修 售价7500万,758.88,碧水庄园,7500.0,98829.0
"D调的奢华:明发滨江,欧式田园风,豪华装修",68.97,北街家园六区,245.0,35522.0
"北街家园一区 户型好,已装修,带家具家",132.0,北街家园一区,499.0,37803.0
尚湖世家 566户型 550平2100万,560.0,中海尚湖世家,2100.0,37500.0
中海瓦尔登湖 临时系768㎡毛坯 大独栋 随时可看房 大庭院,449.0,中海瓦尔登湖,2650.0,59020.0
"中海尚湖世家精装修独栋别墅,位置佳采光好",559.89,中海尚湖世家,2800.0,50009.0
北街家园(六区)免费车位拎包入住南北朝向电梯房,60.61,北街家园六区,205.0,33822.0
中海尚湖世家西区欧式精装联排别墅,348.63,中海尚湖世家,1280.0,36715.0
北街家园六区 2室1厅 76.68平,76.68,北街家园六区,198.0,25821.0
玫瑰园 9室1厅 南 北,268.1,北京玫瑰园,1350.0,50354.0
北街家园三区 4室3厅 253.58平,253.58,北街家园,800.0,31548.0
"北街家园(六区)核心美宅,温馨3室,点击一次 幸福一生",77.43,北街家园六区,268.0,34611.0
"国企开发,精装修洋房,紧邻地铁站,高,商业成熟",127.0,梧桐星宸,653.0,51417.0
保利芳园 1室1厅 42.27平,42.27,保利芳园,135.0,31937.0
北街家园三区 3室2厅 254.35平,254.35,北街家园C区别墅,830.0,32632.0
中海尚湖世家4室2厅,564.0,中海尚湖世家,1980.0,35106.0
"北街家园(八区)非常正气,楼层好、采光佳,让您居住非常舒适!",35.0,北街家园八区,103.0,29428.0
